住所コード,市区町村名,大字名,字丁目名,街区,地番・戸番,title,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販（食品）件数,物販（衣料）件数,物販（日用雑貨）件数,サービス（レンタル）件数,サービス（冠婚葬祭）件数,サービス（生活関連）件数,サービス（自動車）件数,サービス（その他）件数,量販店件数,金融・保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル・旅館件数,医療・福祉件数,公共件数,教育件数,宅配・引越・郵便件数,運輸件数,建設・設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,lat,lng,部屋数推定フラグ
40132,福岡市博多区,相生町,１丁目,１,１,ホームプラザナフコ博多店,0,3002,2,0,0,2,0,0,0,0,100,0,0,7738.89,15477.78,0,0,0,0,0,0,15477.78,7738.89,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4555422,33.5449703,0
40132,福岡市博多区,相生町,１丁目,２,１,渡辺鉄工（株）,0,2027,1,0,0,1,0,0,0,0,100,0,0,4643.41,9286.82,0,0,0,0,0,0,9286.82,9286.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.457035,33.544245,0
40132,福岡市博多区,相生町,１丁目,２,８,アプローズ南福岡駅,12,1002,206,0,201,0,4,1,0,97.57,0,1.94,0.49,2100.83,25209.96,0,0,24572.45,122.25,487.45,121.86,0,0,150.06,150.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4568819,33.5439058,0
40132,福岡市博多区,相生町,２丁目,１,２２,ハーベスト相生,2,1003,8,0,0,0,8,0,0,0,0,100,0,57.46,114.92,0,0,0,0,114.92,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4570717,33.5455364,0
40132,福岡市博多区,相生町,２丁目,１,２６,,0,1001,2,0,2,0,0,0,0,100,0,0,0,117.86,235.72,0,0,235.72,117.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4571689,33.5457831,0
40132,福岡市博多区,相生町,２丁目,１,２３,アルコス相生,2,1003,6,0,0,0,6,0,0,0,0,100,0,60.62,121.24,0,0,0,0,121.24,20.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.457095,33.5455972,0
